Median_Household_Income,Total_Population,PRICE,Avg_Household_Size,Gini_Index,ZIP_CODE,YEAR,Employment_Rate,Below_Poverty_Rate,Rate_College_or_Higher,Black_Portion,White_Portion,American_Indian_and_Alaska_Native_Portion,Asian_Portion
94317,48208,520400,3.04,0.4157,92064,2012,93.69995289684408,4.595149331881205,59.97763419483101,1.5682044473946233,78.6155824759376,0.5787421174908729,10.097909060736807
50471,45362,374900,3.22,0.4364,92069,2012,92.08800815969693,15.891592920353984,48.34845353602578,2.7027027027027026,75.48168070190908,0.37035404082712403,8.49389356730303
40093,1191,195600,2.16,0.4495,92086,2012,74.57142857142857,18.95734597156398,50.80160320641283,3.4424853064651555,76.91015952980689,4.282115869017632,4.953820319059614
80590,76797,386100,3.19,0.3471,92126,2012,91.54592836991345,7.612164189281331,59.14090837407349,3.459770563954321,40.87269033946638,0.3776189174056278,44.66190085550217
125573,47599,838600,2.75,0.4339,92130,2012,94.51327433628319,5.1707809836479575,49.12535034309462,0.6071556125128679,68.7262337444064,0.2878211727137125,25.08035883106788
41920,40881,151400,4.50,0.3848,92236,2012,79.22933829391442,27.806855879100628,20.17085672443251,1.472566718035273,53.33039798439373,0.4916709473838703,0.14921357109659744
27275,3736,155600,2.14,0.5421,92256,2012,75.94187298170075,24.912845266827567,47.23694171082513,0.0,86.69700214132763,3.506423982869379,0.02676659528907923
26322,2807,58900,2.97,0.4747,92283,2012,76.62988966900703,39.0462531373252,31.847890671420082,0.21375133594584966,36.05272532953331,47.48842180263627,1.0687566797292483
44327,263,26100,1.22,0.2707,92328,2012,98.7551867219917,4.942965779467681,53.13807531380753,0.0,93.91634980988593,4.182509505703422,1.9011406844106464
29754,5156,119100,2.36,0.5033,92363,2012,88.09843400447427,28.389747603208765,44.009021708486046,3.2001551590380135,75.48487199379363,14.42979053529868,1.1249030256012413
63445,26746,625500,2.33,0.4571,92008,2012,89.68187526161574,12.143961972309201,60.25912606532341,1.0207133777013384,86.91393105511105,0.22059373364241383,3.8099155013833848
62979,3202,341000,2.33,0.4036,92036,2012,91.92546583850931,12.319073657124477,48.3779399837794,0.655840099937539,94.65958775765147,1.4053716427232978,1.5927545284197375
80460,19971,825300,2.35,0.4757,92106,2012,93.39784946236558,8.536857365897179,58.76065065840434,3.1245305693255223,86.18997546442341,1.141655400330479,4.161033498572931
62313,18390,304500,1.81,0.3880,92108,2012,92.2067200528358,15.321080844546547,71.50494324423288,6.4709081022294725,70.58727569331158,0.19032082653616098,11.71288743882545
63935,43857,700500,1.97,0.4608,92109,2012,91.38986292636277,14.885757285538379,64.15053895149437,1.2084729917687027,91.8279864103792,0.48794947214811774,3.235515425131678
96413,4580,587500,2.89,0.4264,92121,2012,96.28415300546447,18.435998252512015,59.79653353428787,1.48471615720524,49.86899563318777,0.32751091703056767,35.61135371179039
92555,48438,496100,2.45,0.3903,92128,2012,92.76270569684227,3.9168118105664758,60.025285903109015,2.3266856600189936,67.1869193608324,0.17341756472191255,23.293695032825468
40977,26310,156400,3.31,0.5078,92227,2012,80.93014903932485,23.600275355667737,36.267296658791764,2.489547700494109,79.35765868491067,0.3154694032687191,0.7867730900798175
52933,7277,154700,4.10,0.3633,92249,2012,85.43492919757249,17.04623878536922,34.09903011740684,0.0,61.522605469286795,2.020063212862443,0.0
17025,2044,52500,2.44,0.4787,92257,2012,71.80527383367141,46.86888454011742,22.657952069716774,3.1800391389432483,90.41095890410958,2.5440313111545985,0.4892367906066536
45782,20397,277800,1.86,0.5236,92264,2012,88.71016691957512,14.177265108942127,56.04546233365698,1.8090895719958817,87.52757758493897,0.857969309212139,5.966563710349561
41559,23642,150700,2.62,0.4146,92277,2012,83.43729263437292,16.664515851507723,50.325873576756976,7.431689366381863,75.48007782759495,1.213941290922934,4.128246341257085
40534,31907,104400,4.06,0.4084,92301,2012,75.36609829488465,32.622522763792176,35.944433725641524,20.932710690444104,55.4893910427179,0.42310464788290975,2.5480302128059673
32979,5150,334400,2.16,0.4998,92315,2012,86.07538802660754,16.673166926677066,49.60469268043866,0.6407766990291262,83.80582524271844,1.1262135922330097,0.0
35776,67482,281700,3.32,0.4245,92105,2012,87.38565557470503,28.45165229564104,35.59238510218902,15.14181559526985,51.05954180374026,0.39566106517293503,18.662754512314393
61680,26746,672600,2.05,0.4314,92107,2012,91.66480820695807,10.137772675086108,63.103705545884104,2.6994690794885217,90.07328198609137,0.15703282733866747,2.153593060644582
40139,8157,278400,3.86,0.4028,95019,2012,85.02191286414025,23.28061787421846,22.136692325635643,0.0,62.30231702831923,0.0980752727718524,0.8458992276572269
110974,9466,505800,3.14,0.3086,95119,2012,91.59917121868524,6.595857673924588,55.82266625039026,4.320726811747306,59.78237904077752,0.1690259877456159,19.163321360659204
69365,64392,444200,3.85,0.4129,95127,2012,88.2400724841441,11.861573314584799,38.103346165235415,2.7006460429867065,49.72046216921357,1.006336190831159,22.052428873151943
65805,36020,577300,2.52,0.4728,95128,2012,89.90147783251231,16.014083307305714,52.656874807751464,4.394780677401443,56.69350360910605,0.7190449750138812,16.14658523042754
65123,30987,261000,3.14,0.3860,95337,2012,85.01718213058419,10.87210434105509,51.13562621674238,3.304611611320876,71.27182366798979,0.4679381676186788,9.633071933391422
64278,31539,250700,2.89,0.4604,95356,2012,87.63159514867944,12.107392896139766,51.432895571937706,3.1897016392403055,68.8037033514062,1.334855258568756,11.702970924886648
56485,25603,179300,3.56,0.3918,95363,2012,86.43445558739255,15.525221620773516,39.782549972987574,8.655235714564698,70.27301488106863,0.8319337577627622,3.5425536069991796
49971,3774,330000,2.24,0.4299,95383,2012,88.03945745992601,4.87546369899311,57.30456314113902,0.0,92.34234234234235,2.8351881293057764,1.086380498145204
21356,440,408300,2.42,0.5209,95585,2012,92.72727272727272,40.22727272727273,63.49206349206349,0.0,63.18181818181819,25.0,0.45454545454545453
60694,1025,296900,3.39,0.3924,95615,2012,92.82786885245902,8.487804878048781,45.11691884456671,0.0,68.78048780487805,0.0,1.0731707317073171
62330,4968,196700,2.95,0.3960,95692,2012,83.41687552213868,17.641129032258064,53.69889682024659,0.9460547504025765,75.72463768115942,0.8655394524959743,6.582125603864735
94948,8141,298800,3.09,0.2859,95742,2012,86.54677896653767,4.494520379263638,66.16895874263261,5.588993981083405,50.362363346026285,0.0,30.47537157597347
48065,26300,168700,3.28,0.3954,95961,2012,80.85220181850597,19.619841664435693,45.35311017571992,2.585551330798479,64.88212927756653,2.3992395437262357,7.152091254752851
82568,37135,457100,3.96,0.3991,95121,2012,86.50398922391463,11.302084745303222,50.10369141435089,1.9927292311835196,33.7148242897536,0.5870472599973071,52.6215160899421
52917,3811,287300,2.72,0.3825,95461,2012,89.73747016706443,10.592991913746632,56.26089989536101,1.8892679086853843,87.50983993702441,1.6268695880346364,0.1574389923904487
42926,2259,493300,2.34,0.4092,95542,2012,92.09855564995752,16.175760502172864,56.744775174160864,0.398406374501992,90.52678176184152,0.0,0.3098716246126605
37188,628,162500,2.20,0.3820,95543,2012,95.65217391304348,22.39057239057239,66.07538802660754,1.5923566878980893,96.97452229299363,0.0,0.0
54392,1244,326500,2.53,0.4122,95547,2012,92.47135842880525,8.60128617363344,59.534368070953434,1.2861736334405145,89.79099678456592,1.929260450160772,3.135048231511254
56750,813,521600,2.30,0.3848,95549,2012,80.34026465028356,7.028360049321824,65.76433121019109,1.7220172201722017,87.08487084870849,3.4440344403444034,0.12300123001230012
33750,476,276800,2.22,0.5033,95554,2012,100.0,26.89075630252101,34.707903780068726,0.0,95.58823529411765,0.0,0.0
35556,312,471400,2.14,0.5420,95558,2012,100.0,16.025641025641026,71.36752136752136,0.0,89.74358974358975,0.0,1.9230769230769231
52574,1038,372200,2.65,0.4918,95565,2012,94.19354838709677,5.8766859344894025,51.84135977337111,3.94990366088632,85.74181117533719,0.1926782273603083,0.9633911368015413
48750,128,198200,1.68,0.3984,95568,2012,55.26315789473685,33.59375,60.22727272727273,7.8125,70.3125,7.8125,0.78125
38138,13706,173100,2.89,0.4570,95605,2012,82.80879329432231,28.194413899274245,40.29515938606848,3.8231431489858454,65.56252736028017,0.6858310229096746,10.36042609076317
82490,26397,559700,2.80,0.4657,95618,2012,92.77864992150707,18.911907214528252,49.656552184061354,1.647914535742698,66.21585786263591,0.26139334015229,19.80528090313293
57241,4392,258700,2.17,0.4672,95665,2012,84.4598190526876,8.97495361781076,60.214430599826144,0.7741347905282332,90.55100182149363,0.7969034608378871,0.7741347905282332
69848,22928,306400,2.50,0.4111,95677,2012,89.89283974671213,8.33039181080127,64.09666283084005,1.6660851360781574,88.19783670621074,1.6355547801814376,3.6505582693649687
62955,34676,262500,2.71,0.4089,95691,2012,89.57099363409908,14.96707651069285,52.89626703360114,5.25147075787288,64.00680585996078,2.067712538931826,8.988926058368902
79353,3752,383200,2.81,0.4321,95236,2012,94.71613265879708,15.165245202558635,46.16687844133842,0.5063965884861408,77.26545842217483,4.23773987206823,0.0
63531,819,275000,2.46,0.3960,95251,2012,94.73684210526315,11.355311355311356,59.53565505804311,0.0,100.0,0.0,0.0
148422,511,249700,2.23,0.4035,95254,2012,72.39583333333334,0.0,75.33875338753387,0.0,86.10567514677103,0.0,10.76320939334638
54378,12947,250100,2.89,0.4129,95320,2012,87.4889347890233,9.935054894077625,47.212351427521135,0.33212327180041706,89.47246466362864,2.131767977137561,0.9886460183826369
72554,2744,235100,2.64,0.3890,95329,2012,82.35294117647058,8.6654478976234,44.99007936507937,1.0932944606413995,85.60495626822157,1.3119533527696794,1.0568513119533527
53702,11099,234300,3.28,0.3933,95357,2012,85.66937869822485,14.055424741894583,47.22055288461539,1.5496891611856922,78.39444995044599,0.5225696008649428,4.883322821875844
48684,31592,159500,3.54,0.4144,95358,2012,81.59010355132392,21.91512300303832,33.23096815904316,2.3233730058242594,74.0345657128387,1.1585211445935681,4.089642947581666
44252,11583,146000,3.13,0.4373,95360,2012,82.67018668678107,25.859076709475875,42.32529752822703,0.5439005439005439,79.69437969437969,0.3712337045670379,1.1827678494345162
69306,14319,193500,3.50,0.3261,95368,2012,89.73630831643003,7.494375703037121,40.41297935103245,2.576995600251414,79.93574970319156,0.5586982331168378,5.545079963684615
46250,1161,284800,2.95,0.4938,95369,2012,84.98942917547568,22.049956933677866,43.373493975903614,2.0671834625323,69.93970714900948,0.9474590869939706,0.4306632213608958
48904,27551,287200,2.37,0.4573,95370,2012,85.54349535944627,12.741626088239636,55.18853695324284,1.230445355885449,91.51391963994048,0.6388152880113245,1.096148960110341
63446,49357,239500,3.29,0.4129,95376,2012,84.49111470113085,12.08335884718225,45.707232948973726,5.2636910671232044,60.97615333184756,0.4659926656806532,10.08975423952023
55112,9816,166000,3.42,0.4080,95386,2012,84.09978308026031,17.098923628908253,40.41916167664671,0.08149959250203749,86.5321923390383,2.0884270578647106,0.7742461287693562
30833,948,393700,1.78,0.5348,95410,2012,82.43243243243244,21.336459554513482,75.26737967914438,0.949367088607595,93.88185654008439,0.0,2.320675105485232
52396,114,599100,2.00,0.2161,95429,2012,100.0,0.0,21.052631578947366,0.0,100.0,0.0,0.0
41267,4788,366700,1.98,0.4667,95446,2012,87.43126472898665,19.924812030075188,61.90735694822889,1.8170426065162906,92.4812030075188,1.2949039264828737,0.8980785296574769
43205,11054,237100,2.28,0.4698,95453,2012,89.82282653481664,15.959557781347444,56.383111221820904,1.6102768228695497,85.65225257825222,2.7501356974850735,1.1217658766057534
65089,1915,454200,2.81,0.3938,95469,2012,91.79978700745474,11.79270227392914,60.16755521706016,0.0,93.83812010443864,0.20887728459530025,0.0
41923,425,89800,2.04,0.3311,95471,2012,81.69642857142857,9.647058823529411,68.30188679245282,0.0,100.0,0.0,0.0
37006,1820,219600,2.05,0.3672,95310,2012,73.74701670644392,12.708102108768035,57.08635464733026,0.0,84.34065934065934,4.615384615384616,0.0
