ZIP_CODE,fire_dept_count
90003,1
90012,1
90038,1
90058,1
90063,1
90095,1
90210,1
90220,1
90232,1
90241,1
90245,2
90254,1
90266,1
90277,1
90401,1
90501,1
90631,2
90640,1
90670,1
90704,1
90720,1
90744,1
90808,2
91006,1
91016,1
91024,1
91030,1
91101,1
91108,1
91204,1
91307,1
91352,1
91502,1
91505,1
91522,1
91709,1
91730,1
91733,1
91750,1
91754,1
91761,1
91763,2
91764,1
91776,1
91790,1
91801,1
91901,2
91902,1
91906,1
91910,1
91932,1
91942,1
91945,1
91950,1
91978,1
92004,1
92010,1
92011,1
92014,1
92019,2
92020,2
92021,1
92024,1
92025,1
92026,1
92028,2
92029,1
92036,1
92040,2
92054,1
92055,1
92059,1
92061,1
92064,1
92065,1
92066,1
92067,1
92069,1
92070,1
92071,1
92075,1
92082,3
92084,1
92101,1
92113,1
92118,1
92123,1
92138,1
92145,1
92179,1
92201,1
92203,1
92210,1
92220,3
92227,1
92231,1
92233,1
92234,1
92236,1
92240,1
92243,1
92250,1
92251,1
92253,1
92256,1
92260,1
92262,1
92270,1
92275,1
92277,1
92278,1
92281,1
92283,1
92307,2
92310,1
92311,2
92314,2
92315,1
92320,1
92324,1
92327,1
92328,1
92346,2
92354,1
92365,1
92369,1
92373,1
92376,1
92382,2
92389,1
92393,1
92398,1
92410,1
92415,1
92501,1
92509,1
92518,1
92521,1
92530,2
92543,1
92549,1
92552,1
92562,1
92570,2
92583,2
92587,1
92589,1
92592,1
92602,1
92628,1
92648,1
92651,1
92658,1
92674,1
92707,1
92708,1
92805,1
92821,1
92832,1
92842,1
92860,3
92866,1
92870,1
92880,2
93003,1
93010,1
93013,1
93015,1
93030,1
93042,1
93061,1
93101,1
93105,1
93108,1
93110,1
93204,1
93210,1
93221,1
93223,1
93230,2
93242,1
93245,1
93246,1
93247,2
93257,2
93271,1
93274,1
93277,1
93280,1
93286,1
93292,1
93301,1
93308,1
93401,1
93402,1
93405,1
93420,1
93422,1
93423,1
93424,1
93428,1
93430,1
93433,1
93434,1
93436,1
93437,1
93442,1
93445,1
93446,1
93449,1
93451,2
93452,1
93453,1
93458,1
93460,1
93463,1
93465,1
93501,1
93505,1
93512,1
93513,1
93514,5
93517,2
93524,1
93526,1
93529,1
93530,1
93536,1
93541,1
93545,1
93546,2
93551,1
93555,1
93561,2
93562,1
93581,1
93602,2
93605,1
93610,2
93611,1
93612,1
93618,1
93620,1
93622,1
93625,1
93628,1
93630,1
93631,1
93634,1
93635,1
93637,1
93638,1
93646,1
93654,1
93656,1
93657,3
93662,1
93664,2
93668,1
93675,1
93721,1
93727,1
93737,1
93901,1
93908,1
93920,1
93923,2
93924,1
93926,1
93927,1
93928,1
93930,1
93933,1
93940,10
93943,1
93950,1
93955,2
93960,1
94010,1
94014,1
94015,1
94019,2
94020,1
94025,1
94028,1
94035,1
94041,1
94062,1
94063,1
94066,1
94080,1
94088,1
94107,1
94123,1
94301,1
94402,2
94404,1
94501,1
94503,1
94510,2
94513,1
94515,1
94520,2
94525,2
94530,1
94533,2
94534,1
94535,1
94538,1
94541,1
94546,1
94547,1
94550,1
94553,2
94558,1
94559,1
94560,1
94563,1
94564,1
94565,1
94568,2
94571,3
94574,2
94583,1
94585,1
94587,1
94592,1
94608,1
94611,1
94612,1
94701,1
94704,1
94706,1
94801,1
94804,1
94901,1
94903,1
94904,1
94920,1
94922,1
94923,1
94924,1
94925,1
94928,1
94937,1
94939,1
94941,1
94945,1
94946,2
94951,1
94952,3
94954,1
94957,1
94960,1
94965,3
94970,1
94972,1
94973,1
95003,1
95005,1
95006,1
95008,1
95012,1
95014,1
95018,3
95019,1
95020,1
95023,2
95035,1
95037,4
95045,1
95050,1
95060,1
95062,1
95064,1
95065,1
95066,1
95070,1
95076,1
95112,1
95132,1
95202,1
95206,1
95212,1
95215,1
95220,1
95221,1
95222,1
95223,2
95227,1
95228,1
95230,1
95231,1
95236,1
95237,1
95240,1
95245,2
95246,1
95247,1
95249,2
95252,1
95255,1
95258,1
95301,2
95304,1
95307,1
95310,1
95313,1
95316,1
95320,1
95321,1
95322,1
95326,1
95327,1
95328,1
95330,1
95337,1
95338,2
95340,1
95345,1
95346,1
95351,1
95354,1
95358,2
95360,1
95361,1
95363,2
95364,1
95366,1
95367,1
95368,1
95370,3
95375,1
95376,1
95379,1
95380,2
95383,1
95403,1
95404,1
95407,1
95415,1
95419,1
95421,2
95422,1
95425,1
95427,1
95428,1
95431,1
95432,1
95436,1
95437,1
95441,2
95442,2
95445,1
95446,1
95448,1
95449,1
95451,1
95452,1
95453,1
95454,1
95458,1
95459,1
95460,1
95461,1
95469,1
95470,1
95472,4
95476,2
95482,2
95488,1
95490,3
95492,2
95501,1
95503,1
95519,2
95525,1
95526,1
95528,1
95531,3
95536,1
95540,3
95542,2
95543,1
95545,1
95546,1
95549,1
95553,1
95554,1
95555,1
95558,1
95559,1
95560,2
95562,1
95563,2
95564,1
95565,1
95567,1
95569,1
95573,2
95581,1
95585,1
95587,1
95589,3
95595,1
95602,1
95603,3
95606,1
95612,1
95615,1
95616,3
95619,1
95620,1
95624,1
95627,1
95630,2
95631,1
95633,1
95634,1
95637,1
95638,1
95640,3
95641,2
95642,3
95645,1
95646,1
95648,1
95653,1
95658,1
95663,1
95667,2
95672,1
95676,1
95677,1
95678,2
95682,1
95684,1
95685,1
95686,1
95688,2
95689,1
95691,2
95693,1
95694,1
95695,2
95696,1
95697,1
95698,1
95701,1
95709,1
95713,2
95722,1
95728,1
95746,1
95762,1
95813,1
95814,1
95817,1
95822,1
95825,1
95837,1
95901,4
95912,1
95913,1
95919,1
95922,1
95924,1
95928,2
95932,2
95936,1
95937,1
95939,1
95943,2
95945,2
95946,1
95948,1
95951,1
95955,1
95956,1
95959,4
95960,1
95961,1
95962,1
95963,1
95965,1
95966,3
95969,1
95970,1
95971,4
95975,1
95977,1
95979,1
95981,1
95986,1
95987,1
95988,3
95991,1
95993,1
96001,4
96002,1
96003,1
96006,1
96007,2
96009,1
96010,1
96011,1
96013,1
96015,1
96016,1
96017,1
96019,1
96020,2
96021,1
96022,1
96023,1
96024,1
96025,1
96027,1
96028,1
96032,2
96034,1
96037,1
96038,1
96039,1
96040,1
96041,1
96044,1
96046,1
96047,1
96048,1
96050,1
96051,1
96052,1
96056,2
96057,1
96058,2
96062,1
96064,4
96065,1
96067,2
96080,3
96086,1
96091,2
96093,2
96094,3
96097,2
96101,4
96103,4
96104,1
96105,1
96107,1
96108,1
96109,1
96112,1
96113,2
96116,1
96118,1
96119,1
96120,2
96121,1
96122,2
96124,1
96125,1
96126,2
96128,1
96129,1
96130,7
96134,1
96137,4
96145,1
96146,1
96150,2
96158,1
96161,2
